时间,比赛,级别,获奖情况
2024-04-13,蓝桥杯,省赛,一等奖
2024-04-20,团体程序设计天梯赛,国赛,二等奖
2024-05-20,CCPC全国邀请赛（东北）,国赛,银牌
2024-05-26,CCPC全国邀请赛（山东）,国赛,银牌
2024-07-31,睿抗机器人开发者大赛,省赛,二等奖
2024-08-15,睿抗机器人开发者大赛,国赛,一等奖
2024-10-27,CCPC国赛（济南）,国赛,银牌
2024-11-04,辽宁省大学生程序设计竞赛,省赛,亚军
2024-11-10,CCPC国赛（重庆）,国赛,铜牌
2024-11-17,ICPC亚洲区域赛（上海）,国赛,银牌
2025-04-12,蓝桥杯,省赛,一等奖
2025-04-19,团体程序设计天梯赛,国赛,一等奖
2025-04-20,CCPC小米杯全国邀请赛,国赛,金牌
2025-04-27,ICPC全国邀请赛（武汉）,国赛,银牌
2025-05-04,ICPC全国邀请赛（西安）,国赛,冠军
2025-05-26,CCPC全国邀请赛（东北）,国赛,季军
2025-06-15,蓝桥杯,国赛,一等奖
2025-08-25,百度之星程序设计大赛,省赛,一等奖
2025-10-26,ICPC亚洲区域赛（成都）,国赛,金牌 
2025-11-01,ICPC亚洲区域赛（武汉）,国赛,金牌
